5uppps,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1829,2016,1549,2155,-1,2966,2604,-1,-1,1646,2364,2657,-1,-1,2530,1843,2107
aimsey,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1097,1369,1583,1405,-1,1399,1617,1696,-1
Antfrost,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2155,2677,2372,2551,-1,3183,2019,-1,2982,-1,2763,2594,-1,2856,2871,3307,-1
AntVenom,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1212,1723,-1,-1,-1,-1,-1,1805
Asnazum,-1,-1,-1,-1,-1,-1,-1,-1,-1,561,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
awesamdude,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1589,2294,1932,1496,2501,-1,-1,2024,-1,-1,1953,-1,1851,-1
BadBoyHalo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1449,-1,2312,-1,-1,-1,-1,1423,-1,1762,1826,-1,1922,-1,1805,-1,-1,1532
BBPaws,1665,1059,-1,1401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bekyamon,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1932,1747,1756,1674
Bitzel,-1,-1,2249,-1,-1,2372,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Blushi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1313,1401,-1,1613,1748,-1,-1,-1,-1,-1
Calvin,-1,-1,2398,3042,-1,-1,-1,1917,2546,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
